                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4915,                 12.701,                 8.4888,                0.00206,                0.09374,                0.00131,                0.00038,                    nan,                    nan,                    nan,               0.070058,              0.0033269,              0.0033269
                      2,                 5.2898,                 9.9528,                 6.6419,                0.00267,                0.18795,                0.00327,                0.00109,                    nan,                    nan,                    nan,               0.040025,              0.0066273,              0.0066273
                      3,                 3.8222,                 7.9609,                 4.7193,                0.09569,                0.05492,                0.01921,                0.00836,                 3.9749,                 7.6899,                 4.9075,               0.009959,              0.0098946,              0.0098946
                      4,                 3.4033,                  6.759,                 4.0987,                0.19507,                0.15019,                0.08809,                0.04623,                 3.3656,                 6.1516,                 4.1417,              0.0098515,              0.0098515,              0.0098515
                      5,                 3.1852,                 6.0695,                 3.8333,                0.23682,                0.20536,                0.12755,                 0.0696,                 3.2007,                 5.3965,                 3.9607,               0.009802,               0.009802,               0.009802
                      6,                 3.0619,                 5.6192,                 3.6844,                0.28641,                0.23473,                0.16229,                0.09119,                 3.1068,                 5.2352,                  3.788,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.9957,                 5.3139,                   3.58,                0.27645,                0.26198,                0.19862,                  0.113,                 3.0718,                 4.8581,                 3.7622,               0.009703,               0.009703,               0.009703
                      8,                 2.9255,                 5.1093,                 3.5169,                0.30249,                0.29738,                0.24036,                0.14134,                 2.9829,                 4.5995,                 3.6616,              0.0096535,              0.0096535,              0.0096535
                      9,                  2.886,                 4.9268,                 3.4708,                0.33544,                0.32852,                0.27285,                0.16414,                 2.8811,                 4.3072,                 3.5328,               0.009604,               0.009604,               0.009604
                     10,                 2.8365,                 4.8027,                 3.4167,                0.36076,                0.32985,                0.28651,                0.17036,                 2.8797,                 4.2986,                 3.5095,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.7963,                 4.6679,                 3.3653,                0.38294,                0.35133,                0.31676,                0.19208,                  2.826,                 4.0198,                 3.4605,               0.009505,               0.009505,               0.009505
                     12,                  2.769,                 4.5639,                 3.3424,                0.41466,                 0.3776,                 0.3447,                0.20975,                 2.7784,                 3.8364,                 3.3834,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.7225,                 4.4541,                 3.2953,                0.40914,                0.38697,                0.36358,                0.22714,                 2.7174,                 3.7848,                 3.3599,               0.009406,               0.009406,               0.009406
