                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2965,                 4.8035,                  3.939,                0.00183,                0.11009,                 0.0014,                0.00036,                 2.9713,                 4.4805,                 3.4841,               0.070058,              0.0033269,              0.0033269
                      2,                 2.3338,                  3.974,                 2.7487,                0.34004,                 0.0739,                0.03739,                0.01502,                 2.1412,                  3.446,                 2.6153,               0.040025,              0.0066273,              0.0066273
                      3,                  1.913,                 3.3658,                 2.2578,                0.20698,                 0.1351,                0.06547,                0.03036,                  1.947,                 3.3076,                 2.3117,               0.009959,              0.0098946,              0.0098946
                      4,                 1.7601,                 3.0213,                 2.0472,                0.23605,                0.20056,                0.12688,                 0.0635,                 1.7895,                 2.7923,                 2.1213,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6414,                 2.8039,                 1.9286,                0.20751,                0.24103,                0.15942,                0.08211,                 1.6839,                 2.6264,                 2.0262,               0.009802,               0.009802,               0.009802
                      6,                 1.5734,                 2.6418,                 1.8633,                0.24027,                0.24316,                0.17371,                0.09172,                 1.7161,                  2.665,                 1.9947,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.5259,                 2.5106,                 1.8111,                0.28921,                0.29829,                0.23443,                0.12821,                 1.5716,                 2.3296,                 1.9102,               0.009703,               0.009703,               0.009703
                      8,                  1.477,                 2.4175,                 1.7682,                0.33501,                0.33056,                0.26947,                0.14755,                 1.5631,                 2.2687,                 1.8442,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4469,                 2.3303,                 1.7348,                0.38406,                0.32954,                0.29173,                0.17147,                  1.468,                 2.1816,                 1.7846,               0.009604,               0.009604,               0.009604
                     10,                 1.4142,                 2.2717,                 1.7098,                0.36433,                0.35629,                0.31408,                0.18439,                 1.4515,                 2.1062,                 1.7883,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3822,                 2.1963,                 1.6788,                0.41363,                 0.3776,                0.35871,                0.21538,                 1.4185,                 1.9773,                 1.7328,               0.009505,               0.009505,               0.009505
                     12,                 1.3685,                 2.1482,                 1.6645,                0.46753,                0.39514,                0.38672,                0.23392,                 1.4022,                 1.9031,                 1.7048,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3376,                 2.0846,                 1.6358,                0.47683,                0.42705,                 0.4277,                0.26611,                 1.3477,                 1.7824,                 1.6421,               0.009406,               0.009406,               0.009406
                     14,                  1.327,                 2.0385,                 1.6302,                0.46094,                0.42002,                0.41793,                 0.2616,                 1.3364,                 1.8147,                 1.6472,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3083,                 2.0183,                 1.6154,                0.53262,                0.43449,                0.46399,                0.29331,                 1.3025,                  1.701,                 1.6085,               0.009307,               0.009307,               0.009307
                     16,                 1.2906,                 1.9559,                 1.5977,                0.54703,                0.45346,                 0.4781,                0.30055,                 1.2991,                 1.6645,                 1.6089,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2716,                 1.9233,                 1.5805,                0.53231,                0.48298,                0.50102,                0.31942,                  1.267,                 1.5979,                 1.5622,               0.009208,               0.009208,               0.009208
                     18,                 1.2596,                 1.8749,                 1.5687,                0.56663,                0.48159,                0.51969,                0.33647,                  1.239,                 1.6069,                 1.5401,              0.0091585,              0.0091585,              0.0091585
