                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3543,                 4.8384,                 4.0137,                  0.002,                0.01948,                0.00104,                0.00026,                 3.1811,                 7.4024,                 3.9492,               0.070058,              0.0033269,              0.0033269
                      2,                 2.6068,                 4.1597,                  2.947,                0.25307,                0.06868,                0.02529,                0.00916,                 2.1919,                 3.6405,                  2.733,               0.040025,              0.0066273,              0.0066273
                      3,                 1.9486,                 3.4571,                 2.3269,                0.18857,                0.15057,                0.05744,                0.02497,                 2.0155,                 3.3367,                   2.46,               0.009959,              0.0098946,              0.0098946
                      4,                  1.743,                 3.0643,                 2.0747,                0.20838,                0.18509,                0.10761,                0.05282,                  1.806,                 2.9161,                 2.1482,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6172,                 2.8102,                 1.9451,                0.26842,                0.25343,                0.16921,                0.09034,                 1.6376,                 2.5963,                 2.0239,               0.009802,               0.009802,               0.009802
                      6,                 1.5397,                 2.6288,                 1.8641,                0.34161,                0.27932,                0.22729,                0.12743,                 1.5694,                 2.3878,                 1.9088,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4926,                 2.4887,                 1.8096,                0.33889,                 0.3067,                0.23936,                0.13448,                 1.5534,                 2.3287,                 1.8921,               0.009703,               0.009703,               0.009703
                      8,                 1.4465,                 2.3917,                 1.7655,                0.38209,                0.32926,                0.29867,                0.17607,                 1.4682,                 2.1217,                 1.7996,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.416,                 2.2968,                 1.7281,                0.40861,                0.34882,                0.31441,                0.18768,                 1.4611,                 2.1098,                 1.8013,               0.009604,               0.009604,               0.009604
                     10,                 1.3911,                 2.2351,                 1.7058,                0.40381,                0.37796,                0.34014,                0.20321,                 1.4183,                 2.0269,                 1.7702,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3645,                 2.1645,                 1.6781,                0.46601,                0.42382,                0.40697,                0.25154,                 1.3616,                 1.8399,                  1.699,               0.009505,               0.009505,               0.009505
                     12,                 1.3461,                 2.1152,                 1.6618,                0.52039,                0.42045,                0.43274,                0.27105,                 1.3482,                 1.7816,                 1.6588,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3203,                 2.0627,                 1.6381,                0.53656,                0.42321,                0.45739,                0.28784,                 1.3194,                 1.7397,                   1.65,               0.009406,               0.009406,               0.009406
                     14,                 1.3104,                 2.0155,                 1.6296,                0.50707,                 0.4501,                0.46874,                0.29899,                 1.2912,                  1.688,                 1.6068,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.299,                 2.0018,                 1.6214,                0.53408,                0.46578,                0.49006,                0.31456,                 1.2627,                 1.6463,                 1.5942,               0.009307,               0.009307,               0.009307
                     16,                 1.2815,                 1.9467,                 1.6037,                 0.5769,                0.46863,                0.49859,                0.32328,                 1.2522,                 1.6126,                 1.5805,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2633,                 1.9212,                 1.5886,                0.55953,                0.49812,                0.52142,                0.34136,                 1.2423,                 1.5576,                 1.5677,               0.009208,               0.009208,               0.009208
                     18,                 1.2538,                 1.8819,                  1.578,                0.55953,                0.51299,                0.53476,                0.35074,                 1.2291,                 1.5533,                 1.5492,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.2462,                 1.8623,                 1.5697,                0.60515,                0.52458,                0.55845,                 0.3679,                  1.214,                 1.4903,                 1.5411,               0.009109,               0.009109,               0.009109
                     20,                 1.2338,                 1.8358,                 1.5619,                0.60963,                0.52644,                0.56778,                0.37692,                 1.2031,                 1.4767,                 1.5244,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2244,                  1.801,                 1.5498,                0.62323,                0.52732,                0.57621,                0.38539,                 1.1904,                 1.4452,                 1.5073,                0.00901,                0.00901,                0.00901
                     22,                 1.2199,                 1.7896,                 1.5446,                 0.6379,                0.54361,                0.59028,                0.39476,                 1.1677,                 1.4033,                 1.4892,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.2071,                 1.7595,                 1.5329,                0.63972,                 0.5515,                0.60363,                0.40752,                 1.1601,                 1.3724,                 1.4788,               0.008911,               0.008911,               0.008911
                     24,                 1.1995,                 1.7402,                 1.5252,                0.62967,                0.55484,                  0.607,                0.41156,                 1.1527,                 1.3613,                 1.4727,              0.0088615,              0.0088615,              0.0088615
                     25,                   1.19,                 1.7197,                 1.5179,                0.63899,                0.57009,                0.62081,                0.42359,                 1.1307,                 1.3403,                 1.4555,               0.008812,               0.008812,               0.008812
                     26,                 1.1887,                 1.7093,                 1.5159,                0.65368,                0.56605,                0.62859,                0.43094,                 1.1292,                 1.3156,                 1.4492,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1781,                 1.6753,                 1.5035,                0.65605,                 0.5779,                0.63552,                0.43517,                 1.1252,                 1.3063,                 1.4446,               0.008713,               0.008713,               0.008713
                     28,                 1.1715,                 1.6707,                 1.4981,                0.66689,                0.58467,                0.64187,                0.44183,                 1.1176,                 1.2761,                 1.4345,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.1679,                 1.6581,                  1.495,                0.68167,                0.58917,                0.65558,                 0.4543,                  1.105,                 1.2563,                  1.424,               0.008614,               0.008614,               0.008614
                     30,                 1.1649,                 1.6462,                 1.4905,                0.68242,                0.59154,                0.65848,                0.45741,                 1.1022,                 1.2409,                  1.418,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1581,                 1.6304,                 1.4854,                 0.6897,                0.58754,                0.66073,                0.46058,                 1.0897,                  1.231,                 1.4076,               0.008515,               0.008515,               0.008515
                     32,                  1.148,                 1.6084,                 1.4755,                 0.6929,                0.59871,                0.66732,                0.46599,                 1.0886,                 1.2093,                 1.4046,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.1429,                 1.5929,                 1.4713,                0.69724,                0.59956,                0.67563,                0.47381,                  1.076,                 1.1964,                 1.3895,               0.008416,               0.008416,               0.008416
                     34,                 1.1409,                 1.5962,                 1.4692,                0.70127,                0.60695,                0.67872,                0.47845,                 1.0739,                 1.1875,                 1.3881,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1365,                 1.5803,                 1.4588,                0.70942,                0.61011,                0.68597,                0.48321,                 1.0703,                 1.1706,                 1.3845,               0.008317,               0.008317,               0.008317
                     36,                 1.1253,                 1.5531,                  1.458,                0.70637,                0.62175,                0.69211,                0.48727,                 1.0663,                 1.1645,                 1.3814,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1266,                 1.5506,                 1.4556,                 0.7069,                0.63281,                 0.6977,                0.49328,                 1.0546,                 1.1508,                 1.3703,               0.008218,               0.008218,               0.008218
