                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4975,                 12.608,                 8.4308,                0.00248,                0.04355,                0.00143,                0.00044,                 6.1446,                 10.672,                  8.444,               0.070058,              0.0033269,              0.0033269
                      2,                 5.5772,                 10.117,                 6.7672,                0.26362,                0.01365,                0.00427,                0.00138,                 4.6852,                 8.8802,                 5.7721,               0.040025,              0.0066273,              0.0066273
                      3,                 3.9542,                 7.9424,                 4.5762,                0.31677,                0.05995,                 0.0237,                0.01005,                 4.0448,                 7.5694,                 4.8829,               0.009959,              0.0098946,              0.0098946
                      4,                 3.5157,                 6.7551,                 3.9809,                0.19091,                0.15028,                0.08219,                 0.0406,                 3.4766,                 6.0281,                  4.061,              0.0098515,              0.0098515,              0.0098515
                      5,                 3.2691,                 6.0515,                 3.7264,                0.19131,                0.20014,                 0.1169,                 0.0611,                 3.3369,                 5.6406,                 3.9752,               0.009802,               0.009802,               0.009802
                      6,                 3.1363,                 5.6061,                  3.595,                0.30048,                0.24822,                0.18328,                0.10081,                 3.1677,                 5.0121,                 3.7081,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.0496,                 5.2897,                  3.512,                  0.306,                0.27963,                0.20639,                0.11832,                 3.0492,                  4.743,                 3.6132,               0.009703,               0.009703,               0.009703
                      8,                 2.9678,                  5.084,                 3.4369,                0.31516,                0.30157,                0.24535,                0.14058,                 2.9966,                 4.6059,                 3.5546,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.9165,                 4.8819,                  3.384,                0.38222,                0.31695,                0.28132,                0.16415,                 2.9397,                 4.3805,                  3.483,               0.009604,               0.009604,               0.009604
                     10,                 2.8651,                 4.7558,                 3.3378,                0.34935,                0.32736,                0.29343,                0.17699,                 2.8732,                 4.3403,                 3.4511,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.8073,                 4.6223,                 3.2793,                0.43395,                0.36992,                0.34344,                 0.2068,                 2.8117,                 3.9897,                 3.3453,               0.009505,               0.009505,               0.009505
                     12,                 2.7781,                 4.5311,                 3.2643,                0.41828,                0.37806,                0.35431,                 0.2159,                 2.7667,                 3.8659,                 3.2995,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.7263,                 4.3919,                 3.2169,                0.46447,                0.38451,                0.38541,                0.23398,                 2.7526,                 3.7259,                 3.2857,               0.009406,               0.009406,               0.009406
                     14,                 2.7139,                 4.3146,                  3.204,                0.46159,                0.41755,                0.41515,                0.25829,                 2.6508,                 3.6803,                 3.1835,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.6892,                 4.2782,                 3.1889,                0.47161,                0.42133,                0.42363,                0.26644,                 2.6534,                 3.5312,                 3.2181,               0.009307,               0.009307,               0.009307
                     16,                 2.6586,                 4.1654,                 3.1564,                0.52213,                0.41679,                0.44589,                0.28401,                  2.588,                 3.4261,                 3.1232,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.6384,                 4.0983,                 3.1397,                0.52996,                0.44658,                0.46465,                0.29541,                 2.5878,                  3.343,                  3.127,               0.009208,               0.009208,               0.009208
                     18,                 2.6125,                  4.019,                  3.119,                0.51991,                0.47709,                0.48805,                0.31113,                 2.5465,                 3.2958,                 3.0881,              0.0091585,              0.0091585,              0.0091585
                     19,                 2.6054,                 3.9915,                 3.1053,                0.53295,                0.48713,                0.49723,                0.31747,                 2.5246,                  3.169,                 3.0649,               0.009109,               0.009109,               0.009109
                     20,                 2.5921,                 3.9337,                 3.1007,                0.55931,                0.48873,                0.51595,                0.33559,                 2.4931,                 3.1161,                 3.0281,              0.0090595,              0.0090595,              0.0090595
                     21,                  2.557,                 3.8828,                 3.0709,                0.56517,                0.49506,                0.52615,                0.34124,                  2.465,                 3.0815,                 3.0053,                0.00901,                0.00901,                0.00901
                     22,                 2.5569,                  3.854,                 3.0622,                0.59078,                0.50522,                0.53985,                0.35179,                 2.4511,                 2.9847,                 2.9907,              0.0089605,              0.0089605,              0.0089605
                     23,                  2.532,                 3.8011,                 3.0394,                0.60697,                0.50446,                0.55106,                0.36295,                 2.4236,                 2.9594,                 2.9582,               0.008911,               0.008911,               0.008911
                     24,                 2.5208,                 3.7648,                 3.0364,                0.60641,                0.51547,                0.56432,                0.37503,                 2.3848,                 2.9034,                 2.9423,              0.0088615,              0.0088615,              0.0088615
                     25,                 2.4999,                 3.7313,                  3.014,                0.59374,                0.52975,                0.56859,                0.38074,                 2.3598,                 2.8601,                 2.9148,               0.008812,               0.008812,               0.008812
                     26,                  2.501,                 3.6991,                 3.0172,                0.63096,                0.52791,                0.58249,                0.38845,                 2.3559,                 2.8078,                 2.8981,              0.0087625,              0.0087625,              0.0087625
                     27,                 2.4824,                 3.6363,                 2.9957,                0.62852,                0.54303,                0.58829,                0.39514,                 2.3422,                 2.7637,                 2.8847,               0.008713,               0.008713,               0.008713
                     28,                 2.4753,                 3.6229,                 2.9888,                0.63449,                0.55182,                0.60175,                0.40801,                 2.3246,                 2.7221,                 2.8639,              0.0086635,              0.0086635,              0.0086635
                     29,                  2.466,                 3.6092,                 2.9887,                0.63759,                   0.56,                0.61028,                0.41537,                 2.3019,                 2.6719,                 2.8496,               0.008614,               0.008614,               0.008614
                     30,                  2.456,                  3.591,                 2.9785,                0.64747,                0.55577,                0.61152,                0.41819,                 2.2917,                 2.6613,                 2.8408,              0.0085645,              0.0085645,              0.0085645
                     31,                 2.4546,                 3.5522,                 2.9689,                0.64794,                0.57041,                0.62262,                0.42459,                 2.2715,                 2.6082,                 2.8108,               0.008515,               0.008515,               0.008515
                     32,                 2.4275,                 3.4991,                 2.9589,                0.66009,                0.56416,                0.62858,                0.42932,                  2.266,                 2.5955,                 2.8168,              0.0084655,              0.0084655,              0.0084655
                     33,                 2.4278,                 3.4872,                 2.9601,                0.67285,                0.56832,                0.63299,                0.43547,                 2.2553,                 2.5724,                 2.8088,               0.008416,               0.008416,               0.008416
                     34,                 2.4197,                 3.4937,                 2.9566,                0.65911,                0.57227,                0.63349,                0.43795,                  2.247,                 2.5533,                 2.8011,              0.0083665,              0.0083665,              0.0083665
                     35,                 2.4149,                 3.4499,                 2.9344,                0.67088,                0.58194,                0.64509,                0.44702,                 2.2413,                 2.4965,                 2.7985,               0.008317,               0.008317,               0.008317
                     36,                 2.3938,                 3.4205,                 2.9356,                0.67376,                0.58367,                0.64653,                0.44988,                  2.218,                 2.4943,                 2.7813,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.3914,                 3.4041,                 2.9249,                0.67577,                  0.588,                0.65243,                0.45706,                 2.2018,                 2.4664,                  2.764,               0.008218,               0.008218,               0.008218
                     38,                 2.3867,                 3.3736,                 2.9168,                0.68727,                0.59264,                0.66016,                0.46201,                  2.204,                 2.4322,                  2.759,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.3787,                 3.3492,                 2.9064,                0.67493,                0.60287,                 0.6623,                0.46566,                 2.1958,                 2.4197,                 2.7566,               0.008119,               0.008119,               0.008119
                     40,                 2.3684,                 3.3269,                 2.9047,                 0.7007,                0.59268,                0.66895,                0.46999,                 2.1895,                 2.4059,                 2.7463,              0.0080695,              0.0080695,              0.0080695
                     41,                 2.3603,                 3.3133,                 2.8859,                0.70313,                 0.5907,                0.66872,                0.47136,                 2.1838,                  2.384,                 2.7418,                0.00802,                0.00802,                0.00802
                     42,                 2.3706,                 3.3217,                 2.9013,                0.71235,                0.59272,                  0.673,                0.47567,                 2.1697,                 2.3653,                 2.7297,              0.0079705,              0.0079705,              0.0079705
                     43,                 2.3487,                 3.2769,                 2.8852,                0.71763,                0.58941,                0.67663,                 0.4781,                 2.1552,                 2.3527,                 2.7188,               0.007921,               0.007921,               0.007921
                     44,                 2.3443,                 3.2793,                 2.8832,                0.69515,                0.60699,                0.67841,                0.47967,                 2.1515,                 2.3425,                  2.715,              0.0078715,              0.0078715,              0.0078715
                     45,                 2.3445,                 3.2553,                 2.8814,                0.71447,                0.60647,                0.68413,                0.48546,                 2.1437,                 2.3241,                 2.7091,               0.007822,               0.007822,               0.007822
                     46,                 2.3437,                 3.2472,                  2.876,                0.71336,                0.61385,                0.68807,                0.48946,                 2.1399,                 2.3089,                  2.702,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.3398,                 3.2075,                 2.8673,                0.70418,                0.61913,                0.68862,                0.49205,                 2.1302,                 2.2973,                 2.6902,               0.007723,               0.007723,               0.007723
                     48,                 2.3177,                 3.2251,                 2.8632,                0.72439,                0.60909,                0.69111,                 0.4935,                 2.1272,                 2.2897,                 2.6879,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.3159,                 3.1923,                 2.8541,                0.72265,                0.61205,                0.69319,                 0.4963,                 2.1248,                 2.2772,                 2.6832,               0.007624,               0.007624,               0.007624
                     50,                  2.314,                 3.1901,                 2.8489,                0.71857,                0.61439,                0.69453,                0.49784,                 2.1193,                 2.2705,                 2.6783,              0.0075745,              0.0075745,              0.0075745
