                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4752,                 12.374,                 8.4518,                0.00209,                0.07628,                0.00127,                0.00039,                 6.0279,                 15.249,                 8.7728,               0.070058,              0.0033269,              0.0033269
                      2,                 5.3025,                 9.9188,                 6.4572,                0.56061,                0.01307,                0.00486,                0.00161,                 4.5373,                 8.9176,                 5.5624,               0.040025,              0.0066273,              0.0066273
                      3,                 4.0605,                 7.9124,                 4.8024,                0.22276,                0.07104,                0.02825,                0.01168,                 3.8988,                 7.3134,                 4.8075,               0.009959,              0.0098946,              0.0098946
                      4,                 3.5676,                 6.7373,                  4.195,                0.19213,                0.14673,                0.07909,                0.03762,                 3.5406,                 6.1538,                 4.2798,              0.0098515,              0.0098515,              0.0098515
                      5,                 3.2842,                 6.0719,                 3.8829,                0.24645,                0.19817,                0.12057,                0.06154,                 3.2982,                 5.5051,                 4.0398,               0.009802,               0.009802,               0.009802
                      6,                 3.1204,                  5.623,                 3.7101,                0.25576,                0.24537,                0.18327,                0.09943,                 3.1486,                 5.0065,                 3.8099,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.0332,                 5.2968,                 3.5876,                0.30328,                0.27792,                0.21544,                0.11826,                 3.1319,                 4.8618,                 3.7686,               0.009703,               0.009703,               0.009703
                      8,                 2.9416,                 5.0861,                 3.5051,                0.32148,                0.30285,                0.24708,                0.14273,                 2.9981,                 4.5263,                 3.6168,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.8933,                 4.9009,                 3.4383,                0.38873,                0.32868,                0.28628,                 0.1674,                   2.91,                 4.2523,                 3.5356,               0.009604,               0.009604,               0.009604
                     10,                 2.8465,                 4.7808,                  3.393,                0.37217,                0.31381,                0.27081,                0.16037,                 2.8977,                 4.3636,                 3.5486,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.7888,                 4.6438,                 3.3289,                0.39625,                0.37985,                0.34556,                0.20737,                 2.8046,                 3.9719,                 3.3939,               0.009505,               0.009505,               0.009505
                     12,                 2.7616,                 4.5492,                 3.3044,                0.44595,                0.36727,                 0.3548,                0.21508,                  2.782,                 3.8678,                 3.3667,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.7087,                 4.4376,                 3.2536,                 0.4245,                0.37768,                0.36185,                0.22053,                 2.7544,                 3.8639,                 3.3517,               0.009406,               0.009406,               0.009406
                     14,                 2.6903,                 4.3422,                 3.2371,                0.43174,                0.39294,                0.38236,                0.23206,                 2.6915,                 3.7698,                 3.2605,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.6679,                 4.3214,                 3.2233,                0.47141,                0.41395,                0.41171,                0.25597,                 2.6458,                 3.5623,                 3.2457,               0.009307,               0.009307,               0.009307
                     16,                 2.6373,                 4.2046,                  3.191,                0.49312,                0.43308,                0.43027,                0.27205,                 2.6029,                  3.484,                  3.191,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.6145,                 4.1546,                 3.1677,                0.51844,                0.43104,                0.45032,                0.28572,                 2.5927,                 3.3821,                 3.1691,               0.009208,               0.009208,               0.009208
                     18,                 2.5945,                 4.0794,                  3.152,                0.49917,                0.45773,                0.46469,                0.29728,                 2.5653,                 3.3966,                 3.1524,              0.0091585,              0.0091585,              0.0091585
                     19,                 2.5818,                 4.0432,                 3.1315,                0.50833,                0.46901,                0.47432,                0.30562,                 2.5339,                 3.2952,                 3.1071,               0.009109,               0.009109,               0.009109
                     20,                 2.5603,                 3.9926,                 3.1227,                0.54626,                0.47407,                0.49455,                0.31916,                 2.5021,                  3.196,                 3.0902,              0.0090595,              0.0090595,              0.0090595
