                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0832,                 10.911,                 7.6625,                0.00227,                0.04071,                0.00147,                0.00042,                 5.3182,                 9.1805,                 6.6054,               0.070058,              0.0033269,              0.0033269
                      2,                  4.484,                 9.0784,                 5.4813,                0.27025,                0.01906,                  0.007,                0.00245,                 4.4456,                 8.6326,                 5.3557,               0.040025,              0.0066273,              0.0066273
                      3,                 3.8654,                 7.7502,                 4.5179,                0.17285,                 0.0733,                0.02944,                0.01166,                 4.0162,                 7.4706,                 4.7117,               0.009959,              0.0098946,              0.0098946
                      4,                  3.595,                    6.8,                 4.0715,                0.21074,                0.10402,                0.07307,                0.03387,                 3.6534,                 6.3624,                 4.2645,              0.0098515,              0.0098515,              0.0098515
                      5,                 3.3686,                 6.1825,                 3.7914,                0.18504,                0.17833,                0.10571,                0.05385,                 3.4726,                 6.0697,                 4.0445,               0.009802,               0.009802,               0.009802
                      6,                 3.2101,                 5.7421,                 3.6233,                0.24183,                0.23629,                0.15684,                0.07944,                 3.3478,                 5.3012,                  3.798,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.1205,                 5.3981,                  3.499,                0.29812,                0.24584,                0.18266,                0.09793,                 3.2187,                 5.0326,                 3.7009,               0.009703,               0.009703,               0.009703
                      8,                 3.0271,                 5.1671,                 3.4146,                0.28169,                 0.2582,                 0.2043,                0.11049,                  3.174,                 4.9961,                 3.6176,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.9602,                 4.9662,                 3.3452,                0.31921,                0.25372,                0.21259,                0.11852,                  3.196,                  4.972,                 3.6922,               0.009604,               0.009604,               0.009604
                     10,                 2.9057,                 4.8135,                 3.2929,                0.37057,                0.32887,                0.29818,                0.17373,                 2.9603,                 4.3123,                 3.3759,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.8544,                 4.6558,                 3.2367,                0.37398,                0.36317,                0.31689,                0.18419,                 2.9178,                   4.18,                  3.329,               0.009505,               0.009505,               0.009505
                     12,                 2.8248,                 4.5533,                 3.2164,                0.41981,                 0.3485,                0.33731,                0.19937,                 2.8813,                 4.0804,                 3.2978,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.7784,                 4.4168,                 3.1674,                0.43764,                 0.3836,                0.36978,                0.21734,                 2.8121,                 3.8718,                 3.2264,               0.009406,               0.009406,               0.009406
                     14,                 2.7582,                 4.3011,                 3.1429,                0.46535,                0.39606,                0.39526,                0.23957,                 2.7597,                 3.7712,                 3.1931,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.7242,                 4.2651,                 3.1221,                0.48572,                0.42369,                0.42655,                0.25904,                 2.7203,                 3.6355,                 3.1296,               0.009307,               0.009307,               0.009307
                     16,                 2.6819,                 4.1306,                 3.0903,                0.48798,                0.41961,                 0.4228,                 0.2594,                 2.6989,                 3.5584,                 3.1215,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.6585,                 4.0792,                 3.0662,                0.51146,                0.45287,                0.46459,                 0.2901,                  2.617,                 3.4497,                 3.0397,               0.009208,               0.009208,               0.009208
