                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4655,                 12.281,                 8.4155,                0.00282,                0.03792,                0.00161,                0.00048,                 6.0609,                 9.3228,                 8.2001,               0.070058,              0.0033269,              0.0033269
                      2,                 5.4753,                 9.9537,                 6.6813,                  0.004,                0.13794,                0.00463,                0.00137,                 4.6146,                 8.5066,                 5.9427,               0.040025,              0.0066273,              0.0066273
                      3,                  3.921,                 8.0739,                 4.7696,                0.10341,                0.03254,                0.01608,                0.00651,                 3.9343,                 7.7174,                 4.9263,               0.009959,              0.0098946,              0.0098946
                      4,                 3.4617,                 6.8271,                 4.1104,                0.17687,                0.14174,                0.07456,                0.03645,                 3.4607,                  6.449,                 4.1891,              0.0098515,              0.0098515,              0.0098515
                      5,                 3.2234,                  6.136,                 3.8345,                0.28908,                0.19351,                0.12145,                0.06318,                 3.2563,                 5.5651,                  3.957,               0.009802,               0.009802,               0.009802
                      6,                 3.0844,                 5.6752,                 3.6662,                 0.2849,                0.23733,                0.17376,                0.09464,                 3.2074,                 5.0175,                 3.8005,              0.0097525,              0.0097525,              0.0097525
                      7,                  3.019,                 5.3519,                 3.5617,                0.28644,                0.25887,                0.19852,                 0.1087,                 3.0971,                 4.9631,                 3.6978,               0.009703,               0.009703,               0.009703
                      8,                 2.9465,                 5.1425,                 3.4951,                0.28688,                0.30482,                0.24172,                0.13838,                  2.996,                  4.617,                  3.632,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.8962,                 4.9618,                 3.4408,                0.34244,                0.31443,                 0.2707,                0.15404,                 2.9216,                 4.3718,                 3.5523,               0.009604,               0.009604,               0.009604
                     10,                 2.8613,                 4.8312,                 3.4054,                 0.3403,                 0.3287,                0.27619,                0.16134,                 2.8995,                 4.4776,                  3.516,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.8135,                 4.6853,                  3.346,                0.39953,                0.35047,                 0.3252,                0.19278,                 2.8489,                 4.1189,                 3.4429,               0.009505,               0.009505,               0.009505
                     12,                 2.7941,                 4.5892,                  3.331,                0.42922,                0.37961,                0.35365,                0.21186,                 2.7926,                 3.9077,                 3.3728,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.7411,                 4.4674,                 3.2807,                0.41494,                0.38855,                0.37232,                 0.2209,                  2.756,                 3.8114,                 3.3367,               0.009406,               0.009406,               0.009406
                     14,                 2.7272,                 4.3825,                 3.2619,                0.43599,                0.40421,                0.38758,                0.23418,                 2.7224,                 3.7252,                 3.2872,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.7049,                 4.3387,                 3.2435,                0.48078,                0.42291,                0.42456,                0.25982,                 2.7224,                 3.6046,                  3.274,               0.009307,               0.009307,               0.009307
                     16,                 2.6805,                 4.2246,                 3.2197,                0.49132,                0.41738,                0.42661,                 0.2667,                 2.6648,                 3.5083,                 3.2482,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.6448,                 4.1787,                 3.1897,                0.51396,                 0.4363,                0.44874,                0.28046,                 2.5979,                 3.3923,                 3.1735,               0.009208,               0.009208,               0.009208
                     18,                 2.6378,                 4.0793,                 3.1734,                0.52821,                0.45341,                0.46906,                0.29223,                  2.603,                 3.3175,                 3.1601,              0.0091585,              0.0091585,              0.0091585
                     19,                  2.621,                 4.0488,                 3.1545,                0.54992,                0.47041,                0.49253,                 0.3113,                 2.5682,                 3.2377,                 3.1338,               0.009109,               0.009109,               0.009109
                     20,                 2.5963,                 4.0007,                 3.1461,                 0.5374,                0.46024,                0.49537,                0.31719,                 2.5511,                 3.1726,                 3.1094,              0.0090595,              0.0090595,              0.0090595
                     21,                 2.5797,                  3.935,                 3.1244,                 0.5635,                0.48786,                0.51438,                0.32837,                 2.5426,                 3.1224,                 3.1047,                0.00901,                0.00901,                0.00901
                     22,                 2.5784,                 3.9231,                 3.1177,                0.57398,                0.48745,                0.52014,                0.33861,                 2.4903,                 3.0041,                 3.0608,              0.0089605,              0.0089605,              0.0089605
                     23,                 2.5537,                 3.8627,                 3.0897,                0.56512,                0.50485,                0.53548,                0.34498,                 2.4881,                 2.9921,                 3.0452,               0.008911,               0.008911,               0.008911
                     24,                 2.5404,                 3.8197,                  3.079,                0.57655,                0.50142,                0.53798,                0.34956,                 2.4709,                 2.9753,                 3.0162,              0.0088615,              0.0088615,              0.0088615
                     25,                 2.5217,                 3.7757,                 3.0605,                0.58108,                0.51321,                0.55222,                0.35991,                 2.4328,                 2.9248,                 2.9954,               0.008812,               0.008812,               0.008812
