                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.257,                 4.7185,                 3.8375,                0.00147,                0.17739,                0.00164,                0.00043,                 2.8593,                  5.171,                 3.3682,               0.070058,              0.0033269,              0.0033269
                      2,                 2.2703,                 3.9086,                 2.6673,                0.20794,                0.09183,                 0.0395,                0.01602,                 2.1176,                 3.4702,                  2.557,               0.040025,              0.0066273,              0.0066273
                      3,                 1.9169,                 3.3497,                  2.245,                0.25051,                0.12437,                0.06626,                0.03004,                 1.9618,                 3.3122,                 2.3881,               0.009959,              0.0098946,              0.0098946
                      4,                 1.7671,                 3.0076,                 2.0344,                0.23498,                0.20396,                0.12882,                0.06362,                 1.8138,                 2.8096,                 2.1302,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6473,                 2.7771,                 1.9117,                0.19621,                0.22482,                0.14656,                0.07593,                 1.7503,                  2.953,                 2.1311,               0.009802,               0.009802,               0.009802
                      6,                 1.5677,                 2.6126,                 1.8343,                0.29388,                0.28536,                0.21628,                 0.1168,                   1.63,                 2.3893,                 1.9118,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.518,                 2.4812,                 1.7826,                0.34398,                0.30554,                0.25042,                0.14034,                 1.5288,                 2.2939,                 1.8497,               0.009703,               0.009703,               0.009703
                      8,                 1.4705,                 2.3821,                 1.7409,                0.33207,                0.28322,                0.24681,                0.13929,                 1.5625,                 2.3529,                 1.8518,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4343,                 2.2912,                 1.7092,                0.41294,                0.36675,                0.33021,                0.19205,                 1.4459,                 2.1328,                 1.7369,               0.009604,               0.009604,               0.009604
                     10,                 1.4006,                 2.2316,                 1.6807,                0.38257,                0.35036,                0.30972,                0.17843,                 1.4711,                 2.1361,                  1.783,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3709,                 2.1568,                 1.6519,                0.45734,                0.40068,                0.39054,                0.23616,                 1.4052,                 1.9124,                 1.6959,               0.009505,               0.009505,               0.009505
                     12,                 1.3557,                 2.1113,                  1.639,                0.47569,                0.43171,                0.42416,                0.25732,                 1.3745,                  1.829,                  1.645,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3267,                 2.0498,                 1.6122,                0.48951,                0.41736,                0.43014,                0.26462,                 1.3426,                 1.7812,                 1.6343,               0.009406,               0.009406,               0.009406
                     14,                 1.3143,                  2.002,                  1.601,                0.50315,                0.43787,                0.44617,                 0.2804,                 1.3188,                 1.8123,                 1.6124,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2963,                 1.9765,                 1.5855,                0.52741,                0.46466,                0.47836,                0.30392,                   1.27,                  1.672,                 1.5694,               0.009307,               0.009307,               0.009307
